Token,Item Name,Customer-facing Name,Variation Name,SKU,Description,Categories,Reporting Category,GTIN,Item Type,Weight (kg),Social Media Link Title,Social Media Link Description,Price,Online Sale Price,Archived,Sellable,Contains Alcohol,Stockable,Skip Detail Screen in POS,Option Name 1,Option Value 1,Current Quantity ClayTest,New Quantity ClayTest,Stock Alert Enabled ClayTest,Stock Alert Count ClayTest
,Espresso,Espresso,Regular,MS-HOT-ESPRESSO,A concentrated shot of espresso.,Hot drinks,Hot drinks,,Prepared food and beverage,,,,3.50,,N,Y,N,N,,,,,,,
,Americano,Americano,Regular,MS-HOT-AMERICANO,Espresso topped with hot water.,Hot drinks,Hot drinks,,Prepared food and beverage,,,,3.50,,N,Y,N,N,,,,,,,
,Macchiato,Macchiato,Regular,MS-HOT-MACCHIATO,Espresso marked with a dollop of steamed milk.,Hot drinks,Hot drinks,,Prepared food and beverage,,,,3.50,,N,Y,N,N,,,,,,,
,Cortado,Cortado,Regular,MS-HOT-CORTADO,Espresso balanced with steamed milk.,Hot drinks,Hot drinks,,Prepared food and beverage,,,,3.50,,N,Y,N,N,,,,,,,
,Flat white,Flat white,Regular,MS-HOT-FLAT-WHITE,Velvety microfoam over a double espresso.,Hot drinks,Hot drinks,,Prepared food and beverage,,,,3.50,,N,Y,N,N,,,,,,,
,Latte,Latte,Regular,MS-HOT-LATTE,Espresso with steamed milk.,Hot drinks,Hot drinks,,Prepared food and beverage,,,,3.50,,N,Y,N,N,,,,,,,
,Cappuccino,Cappuccino,Regular,MS-HOT-CAPPUCCINO,"Equal parts espresso, steamed milk, and foam.",Hot drinks,Hot drinks,,Prepared food and beverage,,,,3.50,,N,Y,N,N,,,,,,,
,Mocha,Mocha,Regular,MS-HOT-MOCHA,Espresso with chocolate and steamed milk.,Hot drinks,Hot drinks,,Prepared food and beverage,,,,3.50,,N,Y,N,N,,,,,,,
,Hot chocolate,Hot chocolate,Regular,MS-HOT-HOT-CHOCOLATE,Rich steamed chocolate drink.,Hot drinks,Hot drinks,,Prepared food and beverage,,,,3.50,,N,Y,N,N,,,,,,,
,Breakfast tea,Breakfast tea,Regular,MS-HOT-BREAKFAST-TEA,Classic black tea served hot.,Hot drinks,Hot drinks,,Prepared food and beverage,,,,3.50,,N,Y,N,N,,,,,,,
,Iced latte,Iced latte,Regular,MS-COLD-ICED-LATTE,Espresso and chilled milk over ice.,Cold drinks,Cold drinks,,Prepared food and beverage,,,,3.50,,N,Y,N,N,,,,,,,
,Iced americano,Iced americano,Regular,MS-COLD-ICED-AMERICANO,Espresso and cold water over ice.,Cold drinks,Cold drinks,,Prepared food and beverage,,,,3.50,,N,Y,N,N,,,,,,,
,Almond croissant,Almond croissant,Regular,MS-FOOD-ALMOND-CROISSANT,Buttery layers with almond frangipane.,Food,Food,,Prepared food and beverage,,,,2.80,,N,Y,N,N,,,,,,,
,Pain au chocolat,Pain au chocolat,Regular,MS-FOOD-PAIN-AU-CHOCOLAT,Classic viennoiserie.,Food,Food,,Prepared food and beverage,,,,2.50,,N,Y,N,N,,,,,,,
,Oat cookie,Oat cookie,Regular,MS-FOOD-OAT-COOKIE,Chewy oat and chocolate chip.,Food,Food,,Prepared food and beverage,,,,2.20,,N,Y,N,N,,,,,,,
